Time of immersion (hours);Frequency (Hz);Zre (ohms);Zim (ohms);Sample
4;0,501187205314636;938,833855027631;-664,408579888565;LDH-M2-6-18h-DS
4;0,398107171058655;1044,53152420547;-724,510361127336;LDH-M2-6-18h-DS
4;0,31622776389122;1164,78170871246;-785,242803796511;LDH-M2-6-18h-DS
4;0,251188635826111;1299,92203852421;-842,753933932433;LDH-M2-6-18h-DS
4;0,199526235461235;1451,32445371851;-891,253673334066;LDH-M2-6-18h-DS
4;0,158489316701889;1617,44779597786;-929,538780091319;LDH-M2-6-18h-DS
4;0,125892534852028;1795,89267504787;-944,646089501033;LDH-M2-6-18h-DS
4;0,100000001490116;1975,71236799798;-937,944838441863;LDH-M2-6-18h-DS
4;0,0794328227639198;2152,60924848392;-903,61147318179;LDH-M2-6-18h-DS
4;0,0630957335233688;2312,70494605312;-847,466766252463;LDH-M2-6-18h-DS
4;0,0501187220215797;2449,92416749508;-774,743358232799;LDH-M2-6-18h-DS
4;0,0398107171058655;2564,43039511376;-691,234782755338;LDH-M2-6-18h-DS
4;0,0316227748990059;2654,66358103268;-604,727175753684;LDH-M2-6-18h-DS
4;0,0251188650727272;2719,18362969816;-524,961406783834;LDH-M2-6-18h-DS
4;0,0199526231735945;2767,20081696604;-445,814875416105;LDH-M2-6-18h-DS
4;0,015848932787776;2800,78660578412;-382,411023593791;LDH-M2-6-18h-DS
4;0,0125892544165254;2813,0626993545;-319,718037024446;LDH-M2-6-18h-DS
4;0,00999999977648258;2819,9313356613;-270,868584995343;LDH-M2-6-18h-DS
24;100000;81,4562262677093;-2,12026249311713;LDH-M2-6-18h-DS
24;79432,8203125;79,3289846559227;-1,73132325326631;LDH-M2-6-18h-DS
24;63095,734375;77,9929421853194;-1,65448530202991;LDH-M2-6-18h-DS
24;50118,72265625;77,2781948091072;-1,5693978911436;LDH-M2-6-18h-DS
24;39810,71875;76,9255616613226;-1,37226511282253;LDH-M2-6-18h-DS
24;31622,77734375;76,703125946782;-1,36578540791018;LDH-M2-6-18h-DS
24;25118,865234375;76,6892824465541;-1,31181780741424;LDH-M2-6-18h-DS
24;19952,623046875;76,5752762337488;-1,35657062060251;LDH-M2-6-18h-DS
